$Date,$Time,YXC-401B,YXI-401B,YXI-402B,YXI-403B,YXI-404B
02/15/16,04:33:00,1700,1840.827,595.2232,5587.574,29001.11
02/15/16,04:34:00,1700,1841.547,597.4991,5594.286,28993.29
02/15/16,04:35:00,1700,1840.973,588.1367,5478.944,28451.43
02/15/16,04:36:00,1700,1842.023,584.5674,5461.47,28330.4
02/15/16,04:37:00,1700,1840.304,595.6058,5571.586,28952.29
02/15/16,04:38:00,1700,1841.852,580.1461,5413.821,28100.18
02/15/16,04:39:00,1700,1840.599,592.1718,5539.873,28783.14
02/15/16,04:40:00,1700,1840.814,585.2156,5449.908,28316.99
02/15/16,04:41:00,1700,1842.298,583.5053,5452.178,28295.28
02/15/16,04:42:00,1700,1841.813,594.0104,5555.732,28855.56
02/15/16,04:43:00,1700,1840.971,594.7938,5568.081,28888.57
02/15/16,04:44:00,1700,1840.755,594.4404,5571.483,28934.73
02/15/16,04:45:00,1700,1841.538,589.7112,5528.662,28703.68
02/15/16,04:46:00,1700,1841.557,588.8121,5498.479,28554.17
02/15/16,04:47:00,1700,1840.955,595.7822,5581.359,28991.11
02/15/16,04:48:00,1700,1841.544,574.4229,5370.984,27890.46
02/15/16,04:49:00,1700,1841.541,589.5895,5514.094,28672.2
02/15/16,04:50:00,1700,1840.588,593.6685,5544.075,28800.1
02/15/16,04:51:00,1700,1841.287,594.2697,5572.79,28908.26
02/15/16,04:52:00,1700,1840.77,592.5521,5536.8,28754.8
02/15/16,04:53:00,1700,1841.25,597.826,5586.233,28969.68
02/15/16,04:54:00,1700,1841.971,595.1207,5581.458,28975.65
02/15/16,04:55:00,1700,1841.228,604.4988,5685.098,29453.36
02/15/16,04:56:00,1700,1842.415,594.0188,5562.811,28873.2
02/15/16,04:57:00,1700,1840.61,599.7377,5629.021,29239.24
02/15/16,04:58:00,1700,1841,587.2415,5508.162,28593.71
02/15/16,04:59:00,1700,1840.963,579.5616,5419.391,28150.13
02/15/16,05:00:00,1700,1841.524,580.9381,5447.723,28272.27
02/15/16,05:01:00,1700,1841.248,587.5782,5483.625,28474.21
02/15/16,05:02:00,1700,1841.247,594.3123,5572.91,28907.17
02/15/16,05:03:00,1700,1840.003,592.0005,5571.207,28900.37
02/15/16,05:04:00,1700,1842.284,598.7421,5597.324,29048.54
02/15/16,05:05:00,1700,1842.301,595.3406,5565.979,28879.32
02/15/16,05:06:00,1700,1840.956,593.1931,5557.595,28851.44
02/15/16,05:07:00,1700,1842.013,584.7455,5441.729,28251.02
02/15/16,05:08:00,1700,1841.569,585.0005,5461.381,28357.97
02/15/16,05:09:00,1700,1841.826,593.5441,5528.773,28699.65
02/15/16,05:10:00,1700,1841.247,594.3152,5561.238,28872.95
02/15/16,05:11:00,1700,1840.293,591.088,5526.647,28714.68
02/15/16,05:12:00,1700,1840.781,590.2699,5529.519,28710.2
02/15/16,05:13:00,1700,1840.936,580.5765,5454.506,28310.68
02/15/16,05:14:00,1700,1840.973,596.6785,5594.34,29042.2
02/15/16,05:15:00,1700,1840.598,591.548,5538.522,28772.48
02/15/16,05:16:00,1700,1841.526,598.6536,5590.496,29027.18
02/15/16,05:17:00,1700,1841.247,590.3984,5544.185,28806.34
02/15/16,05:18:00,1700,1842.274,596.9428,5574.642,28929.21
02/15/16,05:19:00,1700,1840.777,598.3969,5605.01,29104.19
02/15/16,05:20:00,1700,1841.23,580.3746,5424.104,28171.21
02/15/16,05:21:00,1700,1840.921,591.5204,5555.985,28862.18
02/15/16,05:22:00,1700,1841.236,595.1328,5564.712,28901.03
02/15/16,05:23:00,1700,1840.743,597.725,5608.78,29132.4
02/15/16,05:24:00,1700,1841.818,600.8835,5623.479,29187.93
02/15/16,05:25:00,1700,1842.303,584.7557,5489.263,28481.31
02/15/16,05:26:00,1700,1840.014,582.0377,5453.852,28336.37
02/15/16,05:27:00,1700,1840.956,593.329,5545.319,28795.6
02/15/16,05:28:00,1700,1840.592,598.0616,5601.947,29099.91
02/15/16,05:29:00,1700,1842.754,570.905,5334.975,27692.96
02/15/16,05:30:00,1700,1840.968,586.3314,5477.709,28464.48
02/15/16,05:31:00,1700,1841.541,597.3661,5603.314,29114.87
02/15/16,05:32:00,1700,1841.233,599.4246,5614.437,29172.44
02/15/16,05:33:00,1700,1841.835,596.6753,5570.239,28924.01
02/15/16,05:34:00,1700,1841.536,567.4182,5264.036,27348.18
02/15/16,05:35:00,1700,1841.182,591.7693,5537.789,28767.97
02/15/16,05:36:00,1700,1841.527,592.0156,5551.375,28827.95
02/15/16,05:37:00,1700,1841.24,595.7767,5600.717,29076.29
02/15/16,05:38:00,1700,1842.217,588.3752,5508.083,28616.13
02/15/16,05:39:00,1700,1841.816,587.0983,5490.455,28522.57
02/15/16,05:40:00,1700,1840.583,595.2075,5579.192,28974.93
02/15/16,05:41:00,1700,1841.83,592.0717,5571.547,28934.98
02/15/16,05:42:00,1700,1840.299,591.7247,5532.873,28743.96
02/15/16,05:43:00,1700,1841.552,569.4549,5299.956,27557.41
02/15/16,05:44:00,1700,1841.246,589.4933,5499.513,28554.16
02/15/16,05:45:00,1700,1842.316,594.1323,5538.587,28767.72
02/15/16,05:46:00,1700,1840.565,594.0071,5568.883,28928
02/15/16,05:47:00,1700,1840.958,593.1002,5550.135,28833.97
02/15/16,05:48:00,1700,1841.244,587.7846,5499.533,28554.35
02/15/16,05:49:00,1700,1841.528,596.463,5591.085,29075.61
02/15/16,05:50:00,1700,1841.79,590.9417,5542.293,28778.12
02/15/16,05:51:00,1700,1841.526,575.8745,5358.231,27804.59
02/15/16,05:52:00,1700,1841.245,589.7856,5508.082,28602.76
02/15/16,05:53:00,1700,1841.541,592.7713,5545.471,28782.5
02/15/16,05:54:00,1700,1841.542,591.9873,5561.289,28872.6
02/15/16,05:55:00,1700,1841.81,595.1288,5559.202,28868.21
02/15/16,05:56:00,1700,1841.994,586.1954,5475.831,28423.1
02/15/16,05:57:00,1700,1840.93,591.9805,5551.37,28827.54
02/15/16,05:58:00,1700,1841.522,594.563,5574.376,28940.91
02/15/16,05:59:00,1700,1840.004,598.6406,5611.874,29159.54
02/15/16,06:00:00,1700,1841.498,591.2637,5541.915,28748.25
02/15/16,06:01:00,1700,1840.768,599.0906,5614.33,29156.38
02/15/16,06:02:00,1700,1841.815,597.8264,5616.605,29159.39
02/15/16,06:03:00,1700,1841.235,596.6708,5595.141,29041.41
02/15/16,06:04:00,1700,1841.25,589.3785,5535.439,28747.72
02/15/16,06:05:00,1700,1840.763,576.7728,5357.793,27851.78
02/15/16,06:06:00,1700,1841.812,600.1084,5627.697,29200.16
02/15/16,06:07:00,1700,1840.952,596.5863,5609.73,29144.69
02/15/16,06:08:00,1700,1841.99,595.6855,5582.644,28975.31
02/15/16,06:09:00,1700,1840.293,588.9331,5516.094,28687.58
02/15/16,06:10:00,1700,1841.534,591.9868,5547.934,28806.15
02/15/16,06:11:00,1700,1840.954,590.5276,5501.708,28680.79
02/15/16,06:12:00,1700,1840.967,596.2402,5578.406,28969.06
02/15/16,06:13:00,1700,1840.953,593.6616,5571.457,28913.64
02/15/16,06:14:00,1700,1840.765,588.3306,5500.525,28575.25
02/15/16,06:15:00,1700,1840.572,595.6787,5602.902,29042.79
02/15/16,06:16:00,1700,1840.969,599.4033,5611.848,29144.88
02/15/16,06:17:00,1700,1840.79,594.2213,5570.302,28941.15
02/15/16,06:18:00,1700,1840.563,590.1356,5522.175,28688.39
02/15/16,06:19:00,1700,1841.819,591.8403,5530.883,28716.46
02/15/16,06:20:00,1700,1841.251,595.6855,5584.054,28985.93
02/15/16,06:21:00,1700,1841.286,580.1593,5424.114,28160.97
02/15/16,06:22:00,1700,1840.96,590.6932,5523.102,28675.56
02/15/16,06:23:00,1700,1840.766,596.1522,5570.229,28934.41
02/15/16,06:24:00,1700,1840.768,599.8572,5623.55,29208.35
02/15/16,06:25:00,1700,1841.813,595.2053,5584.87,28992.26
