$Date,$Time,PI-428,PI-430,FI-425,TI-426,TI-432,TI-431,PI-433,HR_A1,QR_A1,QR_SCL_A1
02/15/16,01:53:00,760.8905,2670.833,87.4194,25.5296,107.2133,106.2112,2664.598,1.316215,0.1003241,0.1001138
02/15/16,01:54:00,763.3459,2644.782,85.55031,25.57878,107.5031,106.3499,2639.559,1.309505,0.09991434,0.09984848
02/15/16,01:55:00,771.2769,2633.12,85.53871,25.58537,107.4734,106.27,2628.405,1.294285,0.09915266,0.09915981
02/15/16,01:56:00,768.736,2639.34,87.36382,25.60184,107.3263,106.3917,2636.362,1.297499,0.1000881,0.09935422
02/15/16,01:57:00,755.4584,2645.351,84.51805,25.60626,106.9826,106.1317,2644.851,1.320163,0.09890368,0.1001079
02/15/16,01:58:00,760.6897,2647.884,84.64729,25.32111,106.9658,106.0117,2645.669,1.314516,0.09929907,0.09992108
02/15/16,01:59:00,744.812,2621.188,88.99487,25.27687,107.3438,106.4549,2615.648,1.322295,0.1025011,0.1004423
02/15/16,02:00:00,750,2632.163,85.2467,25.24034,107.803,106.5372,2628.647,1.322896,0.09958621,0.1003621
02/15/16,02:01:00,728.1787,2613.298,85.81974,25.04364,107.8081,106.7791,2608.403,1.343092,0.1021113,0.1011815
02/15/16,02:02:00,754.2688,2647.041,84.71905,25.31581,107.765,106.589,2643.533,1.321494,0.09950033,0.1001852
02/15/16,02:03:00,756.557,2639.637,85.49858,25.44925,107.8067,106.58,2630.034,1.307215,0.0999194,0.100155
02/15/16,02:04:00,757.5262,2625.474,84.38004,25.26927,108.0097,106.5338,2619.812,1.308218,0.09955127,0.09985775
02/15/16,02:05:00,750.2051,2624.941,84.77673,25.05144,107.3336,106.324,2621.39,1.313395,0.1002361,0.1002692
02/15/16,02:06:00,725.2252,2541.626,83.83396,24.45747,107.393,106.2845,2538.494,1.320759,0.1007788,0.09987827
02/15/16,02:07:00,740.6207,2627.998,86.00994,24.29942,107.6319,106.4353,2622.082,1.339854,0.1017864,0.1010385
02/15/16,02:08:00,762.0789,2647.685,86.45393,24.97501,107.4469,106.4077,2644.063,1.309353,0.1006441,0.09980005
02/15/16,02:09:00,768.9453,2640.17,85.78926,25.25226,107.2032,106.2088,2633.618,1.301164,0.1000029,0.09939558
02/15/16,02:10:00,763.0548,2614.491,84.2939,25.1805,107.0168,106.0809,2610.129,1.295109,0.09890831,0.09924586
02/15/16,02:11:00,762.1698,2572.761,92.77519,24.46526,107.5343,106.25,2567.712,1.285164,0.1031403,0.09892942
02/15/16,02:12:00,759.7607,2665.326,85.92663,25.09038,107.0733,106.0125,2664.282,1.327358,0.09971828,0.1003964
02/15/16,02:13:00,761.3586,2634.583,84.29428,25.23923,107.2129,106.0977,2628.691,1.304917,0.09891176,0.09983732
02/15/16,02:14:00,754.2914,2609.662,81.77898,25.32205,106.7026,105.8943,2605.356,1.303766,0.09767187,0.09956781
02/15/16,02:15:00,763.6176,2629.659,85.20973,25.18837,106.5647,105.6091,2628.177,1.304739,0.09938406,0.09964045
02/15/16,02:16:00,769.8694,2635.85,87.01302,25.3255,106.548,105.6591,2636.202,1.299054,0.09971943,0.09935205
02/15/16,02:17:00,762.3163,2593.454,89.81853,24.64801,107.2607,106.1186,2590.066,1.291427,0.1022913,0.09919441
02/15/16,02:18:00,764.3475,2644.801,87.27966,24.91389,106.8701,105.9362,2644.923,1.309741,0.09998474,0.09989741
02/15/16,02:19:00,740.4468,2629.456,84.66507,25.08546,106.5144,105.621,2626.534,1.333703,0.1006346,0.1007984
02/15/16,02:20:00,730.7245,2638.971,83.98533,25.21158,106.2822,105.3539,2635.365,1.348591,0.10004,0.1012819
02/15/16,02:21:00,743.9764,2647.59,82.76737,25.44534,106.6858,105.4993,2643.178,1.326201,0.09928335,0.1007205
02/15/16,02:22:00,718.0768,2514.453,82.37854,24.91756,107.3289,106.1602,2510.242,1.314582,0.1000577,0.1002389
02/15/16,02:23:00,718.0029,2577.493,88.01437,23.9548,107.6415,106.5273,2575.497,1.336788,0.1038808,0.1009892
02/15/16,02:24:00,745.177,2643.688,83.53653,24.80591,107.3579,106.2606,2638.58,1.331172,0.09958716,0.1007356
02/15/16,02:25:00,758.2611,2625.842,85.9679,25.14223,107.8625,106.6778,2623.776,1.305045,0.09968738,0.09974899
02/15/16,02:26:00,760.2655,2631.13,84.02584,24.97159,108.282,106.9824,2627.958,1.307073,0.09940091,0.09966182
02/15/16,02:27:00,728.0505,2626.934,83.13335,25.16779,108.3743,107.0133,2629.331,1.349618,0.09993974,0.1013654
02/15/16,02:28:00,732.7368,2600.533,83.84422,24.72087,108.9403,107.2938,2595.539,1.32959,0.1001366,0.1005958
02/15/16,02:29:00,693.4717,2570.829,78.81031,24.39632,108.7681,107.8109,2564.689,1.372585,0.09986523,0.1022832
02/15/16,02:30:00,714.054,2559.561,85.93132,24.09853,108.7369,107.9189,2551.532,1.343333,0.1028392,0.1012499
02/15/16,02:31:00,729.7089,2577.387,91.13201,24.12883,108.255,107.4668,2574.376,1.323991,0.1040209,0.1004646
02/15/16,02:32:00,752.6025,2628.828,83.36552,25.10384,107.576,106.4503,2620.133,1.324076,0.09926301,0.1004871
02/15/16,02:33:00,762.4255,2631.144,86.71669,25.18712,107.3713,106.3318,2627.996,1.305399,0.1006889,0.09961773
02/15/16,02:34:00,757.3889,2587.071,83.91125,25.20778,107.2941,106.3631,2583.168,1.295023,0.09848797,0.09908129
02/15/16,02:35:00,742.2699,2632.148,86.05892,25.02045,106.8509,106.4251,2628.727,1.326102,0.1006253,0.1000588
02/15/16,02:36:00,738.4503,2660.894,85.98904,25.20073,106.825,106.0846,2656.253,1.3427,0.1008573,0.1009914
02/15/16,02:37:00,772.1844,2642.399,86.1956,25.25298,107.2523,106.1454,2640.361,1.294872,0.09935711,0.09918053
02/15/16,02:38:00,765.9741,2616.989,86.00044,25.23883,106.3206,105.6901,2617.746,1.291558,0.0996203,0.09928825
02/15/16,02:39:00,760.2423,2603.502,83.47069,25.17538,106.568,105.6429,2599.593,1.294021,0.09869797,0.09915023
02/15/16,02:40:00,758.4521,2610.027,87.29908,24.84354,106.6554,105.7647,2606.904,1.306431,0.1006476,0.0997656
02/15/16,02:41:00,758.8708,2650.715,82.64194,25.18683,105.8891,105.515,2637.788,1.315084,0.09755875,0.09988786
02/15/16,02:42:00,731.9165,2539.942,79.86099,24.55,107.4272,106.2906,2532.728,1.306995,0.09851941,0.09986016
02/15/16,02:43:00,711.5417,2582.686,81.55228,24.17581,106.4327,105.7278,2575.936,1.357154,0.09984498,0.1014191
02/15/16,02:44:00,757.0502,2639.383,85.74551,24.82668,105.836,105.5143,2638.364,1.314268,0.09984958,0.09998985
02/15/16,02:45:00,760.3223,2612.675,87.21687,24.8371,106.8059,105.8201,2607.743,1.303045,0.1003769,0.09953482
02/15/16,02:46:00,754.1461,2631.264,83.19096,25.11978,106.499,105.1562,2625.373,1.311356,0.09830981,0.09963166
