$Date,$Time,PI-501B,PI-502B,PDI-501B,PI-701B,PDI-701B,PI-731B,PZI-732B,PI-741B,PZI-742B
02/15/16,01:55:00,106.6876,515.8246,7.620354,7301.031,19.99141,105.1852,105.2986,102.9848,102.9944
02/15/16,01:56:00,106.8564,514.5677,7.675285,7263.846,19.97656,105.0533,105.2358,102.6011,102.6117
02/15/16,01:57:00,106.7565,515.2129,7.681885,7278.476,20.00693,105.0583,105.217,102.2753,102.1616
02/15/16,01:58:00,106.6524,515.9879,7.593002,7268.598,20.002,105.4816,105.6667,102.8093,102.7402
02/15/16,01:59:00,106.6016,516.3472,7.640686,7217.291,19.88074,105.1344,105.3232,102.4957,102.4716
02/15/16,02:00:00,106.6404,515.8971,7.612381,7273.248,19.97366,105.1925,105.361,102.5417,102.5211
02/15/16,02:01:00,106.6016,516.0959,7.609711,7165.558,19.81343,105.0502,105.1855,102.2437,102.2347
02/15/16,02:02:00,106.6819,516.6562,7.58522,7342.044,20.09661,105.6241,105.8027,102.8907,102.8898
02/15/16,02:03:00,106.621,515.2887,7.62207,7370.844,20.20086,105.2045,105.3847,102.9483,102.9481
02/15/16,02:04:00,106.7354,515.0524,7.650604,7261.862,19.94724,104.9828,105.1354,102.5729,102.5605
02/15/16,02:05:00,106.7654,515.843,7.592773,7167.966,19.79204,105.2673,105.4417,102.5775,102.5637
02/15/16,02:06:00,106.6237,516.7036,7.55806,6957.831,19.42134,104.8306,105.003,102.3041,102.2785
02/15/16,02:07:00,106.6692,515.8319,7.499123,7203.958,19.91895,105.6957,105.6119,102.3441,102.3282
02/15/16,02:08:00,106.5947,516.4679,7.582703,7344.867,20.13162,105.8433,105.9999,102.9456,102.9459
02/15/16,02:09:00,106.6406,516.201,7.617836,7330.472,20.07227,105.5564,105.7333,102.9034,102.8946
02/15/16,02:10:00,106.5992,516.1108,7.659531,7244.431,19.88596,105.3555,105.4534,102.874,102.856
02/15/16,02:11:00,106.6034,516.4656,7.598877,6916.833,19.42368,105.3801,105.5776,102.6691,102.6459
02/15/16,02:12:00,106.7272,514.5557,7.712708,7295.981,20.06318,105.5749,105.7372,102.2396,102.2177
02/15/16,02:13:00,106.7639,514.9822,7.659836,7397.409,20.21426,105.173,105.322,102.783,102.786
02/15/16,02:14:00,106.6928,515.3931,7.630997,7272.613,19.9364,104.9664,105.2531,102.7359,102.7311
02/15/16,02:15:00,106.6035,516.4072,7.592392,7236.139,19.90732,105.5869,105.7736,103.0663,103.0447
02/15/16,02:16:00,106.6734,515.448,7.616844,7247.62,19.98811,105.5621,105.7429,102.7816,102.7763
